,START_CITY*,AVG_DIST*,EARLIEST_TRIP*,RECENT_TRIP*
143,Soho,0.5,6/8/2016 17:16,6/8/2016 17:16
144,South,3.6,11/12/2016 10:55,11/12/2016 15:14
145,South Berkeley,0.9,11/13/2016 13:14,11/13/2016 13:14
146,South Congress,3.34,3/10/2016 16:18,3/14/2016 18:39
147,Southside,1.825,11/13/2016 11:04,11/13/2016 15:47
148,St Thomas,1.8,7/10/2016 16:04,7/10/2016 16:04
149,Stonewater,3,7/19/2016 10:56,7/19/2016 10:56
150,Storyville,1.55,6/15/2016 19:52,6/25/2016 19:47
151,Sugar Land,35.1,3/19/2016 14:01,3/19/2016 14:01
152,Summerwinds,8.7,7/4/2016 18:23,7/4/2016 18:23
153,Sunnyside,0.7,11/9/2016 18:09,11/9/2016 18:09
154,Sunnyvale,17.6,5/9/2016 19:35,5/9/2016 19:35
155,Tanglewood,6.225,2/25/2016 18:22,5/1/2016 17:54
156,Tenderloin,1.2,11/10/2016 10:20,11/10/2016 10:20
157,The Drag,3.72857142857143,3/11/2016 9:47,3/16/2016 11:34
158,Topton,35.25,10/29/2016 15:22,10/30/2016 7:49
159,Townes at Everett Crossing,3.3,6/3/2016 18:14,6/3/2016 18:14
160,Tribeca,0.9,6/8/2016 17:59,6/8/2016 17:59
161,University District,5,5/4/2016 22:19,5/4/2016 22:19
162,Unknown Location,13.3547297297297,10/11/2016 1:27,9/6/2016 17:49
163,Wake Co.,1.8,12/3/2016 19:08,12/3/2016 19:08
164,Wake Forest,31.9,8/11/2016 20:59,8/11/2016 20:59
165,Washington,6.6,8/6/2016 6:40,8/6/2016 6:40
166,Washington Avenue,6.2,3/20/2016 11:42,3/20/2016 11:42
167,Waverly Place,5.825,2/28/2016 9:26,6/24/2016 11:54
168,Wayne Ridge,8,3/1/2016 21:27,7/22/2016 18:33
169,West Berkeley,3.62,10/19/2016 15:44,11/6/2016 20:06
170,West End,2,8/3/2016 12:46,8/3/2016 12:46
171,West Palm Beach,5.7,1/6/2016 17:15,1/6/2016 17:30
172,West University,2.2,3/10/2016 14:39,3/16/2016 18:43
173,Weston,4,3/5/2016 12:57,6/5/2016 15:57
174,Westpark Place,2.18235294117647,11/2/2016 15:45,8/12/2016 18:56
175,Whitebridge,4.02058823529412,1/19/2016 9:09,8/9/2016 14:20
176,Winston Salem,133.6,10/28/2016 18:13,10/28/2016 18:13
